Year,Game,Player,Opponent,Rating,Opponent rating,White,Is challenger,Won so far,Drawn so far,Lost so far,Score,Win,Draw,Loss
1969,1,Spassky,Petrosian,2690,2650,1,1,0,0,0,0,0,0,1
1969,2,Spassky,Petrosian,2690,2650,0,1,0,0,1,0.5,0,1,0
1969,3,Spassky,Petrosian,2690,2650,1,1,0,1,1,0.5,0,1,0
1969,4,Spassky,Petrosian,2690,2650,0,1,0,2,1,1,1,0,0
1969,5,Spassky,Petrosian,2690,2650,1,1,1,2,1,1,1,0,0
1969,6,Spassky,Petrosian,2690,2650,0,1,2,2,1,0.5,0,1,0
1969,7,Spassky,Petrosian,2690,2650,1,1,2,3,1,0.5,0,1,0
1969,8,Spassky,Petrosian,2690,2650,0,1,2,4,1,1,1,0,0
1969,9,Spassky,Petrosian,2690,2650,1,1,3,4,1,0.5,0,1,0
1969,10,Spassky,Petrosian,2690,2650,0,1,3,5,1,0,0,0,1
1969,11,Spassky,Petrosian,2690,2650,1,1,3,5,2,0,0,0,1
1969,12,Spassky,Petrosian,2690,2650,0,1,3,5,3,0.5,0,1,0
1969,13,Spassky,Petrosian,2690,2650,1,1,3,6,3,0.5,0,1,0
1969,14,Spassky,Petrosian,2690,2650,0,1,3,7,3,0.5,0,1,0
1969,15,Spassky,Petrosian,2690,2650,1,1,3,8,3,0.5,0,1,0
1969,16,Spassky,Petrosian,2690,2650,0,1,3,9,3,0.5,0,1,0
1969,17,Spassky,Petrosian,2690,2650,1,1,3,10,3,1,1,0,0
1969,18,Spassky,Petrosian,2690,2650,0,1,4,10,3,0.5,0,1,0
1969,19,Spassky,Petrosian,2690,2650,1,1,4,11,3,1,1,0,0
1969,20,Spassky,Petrosian,2690,2650,0,1,5,11,3,0,0,0,1
1969,21,Spassky,Petrosian,2690,2650,1,1,5,11,4,1,1,0,0
1969,22,Spassky,Petrosian,2690,2650,0,1,6,11,4,0.5,0,1,0
1969,23,Spassky,Petrosian,2690,2650,1,1,6,12,4,0.5,0,1,0
1972,1,Fisher,Spassky,2785,2660,0,1,0,0,0,0,0,0,1
